"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2020/03/31","BIGLOBE利用料","-4777","セゾンカード","通信費","インターネット","","0","Swbcld7Py0ec-RSsEvo5_A"
"1","2020/03/31","キャッシュレス・消費者還元分","222","セゾンカード","収入","ポイント還元","","0","oQykd0ZDnuHiDwo54k0BIQ"
"1","2020/03/30","NEO大阪王将 池袋北店","-2250","セゾンカード","未分類","未分類","","0","BcGFRL6HuGKOiSHe9gg5iQ"
"1","2020/03/30","上下水道料金 02月~03月分","-4096","セゾンカード","水道・光熱費","水道代","","0","A-oBVu26sB6dsbOd2zYQ4Q"
"1","2020/03/30","まいばすけっと","-4293","セゾンカード","食費","食料品","","0","PVAR_zmnldlRNAQKYD8isg"
"1","2020/03/27","ライフ新大塚店 -東京都 豊島区","-9393","セゾンカード","日用品","日用品","","0","ul7Hx6UhbhezrWh5KzsKRw"
"1","2020/03/25","まいばすけっと","-3079","セゾンカード","食費","食料品","","0","0Ak71Vg_aU6CO7RskeW7TA"
"1","2020/03/22","友諠商店","-4456","セゾンカード","食費","食料品","","0","UTsfMeNYCHvEzbvcb9Q6oA"
"1","2020/03/21","よしや","-4665","セゾンカード","食費","食料品","","0","9kg_N1rGM3XwHM5BSnYUsw"
"1","2020/03/21","ココカラファイン","-4492","セゾンカード","日用品","ドラッグストア","","0","x2xCD0MCxtEDIEIfqnKC2Q"
"1","2020/03/20","割引分","245","セゾンカード","収入","ポイント還元","","0","zCnpJ_xZAFm8ZelvnH-D2A"
"1","2020/03/20","西友 サンシャイン店(日用品・化粧品)","-8584","セゾンカード","日用品","日用品","","0","ih0Y2Uqaql5HuXnnNSB-zQ"
"1","2020/03/13","よしや","-2886","セゾンカード","食費","食料品","","0","bXvly2fmBUeYfUX33G7lKA"
"1","2020/03/11","東京ガス 1474-640-0085","-3512","セゾンカード","水道・光熱費","ガス・灯油代","","0","SG9oQ2n_Hy2_GRUmQr2QYw"
"1","2020/03/10","ドミノ・ピザ","-2106","セゾンカード","食費","食料品","","0","Ei5LeZw7c-8CWGorI8Uh7g"
"1","2020/03/08","ライフコーポレーション","-7784","セゾンカード","食費","食料品","","0","w0xpcNLoHS97zVA5X2s9oQ"
"1","2020/03/07","アトレヴィ大塚","-2928","セゾンカード","食費","食料品","","0","YPxhz-dCEf4t4RuQx7DSvg"
"1","2020/03/06","ドミノ・ピザ","-3465","セゾンカード","食費","食料品","","0","TNKPT6Jxn2kwx2WgbtF0fg"
"0","2020/03/04","セゾン","-55643","三井住友銀行","現金・カード","カード引き落とし","","1","7iuV122HVHEzCF9i3pya1Q"
"1","2020/03/03","振込 ジヤン チ- (セイカツヒ20200304)","220000","三井住友銀行","収入","生活費","","0","8uwAXIoWaGVe_QVliGslTw"
