"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2019/11/01","511696","493796","17900"
"2019/11/02","511696","493796","17900"
"2019/11/03","511696","493796","17900"
"2019/11/04","511696","493796","17900"
"2019/11/05","376152","358252","17900"
"2019/11/06","376152","358252","17900"
"2019/11/07","376152","358252","17900"
"2019/11/08","376152","358252","17900"
"2019/11/09","376152","358252","17900"
"2019/11/10","376152","358252","17900"
"2019/11/11","376152","358252","17900"
"2019/11/12","376152","358252","17900"
"2019/11/13","378982","358252","20730"
"2019/11/14","378982","358252","20730"
"2019/11/15","382007","358252","23755"
"2019/11/16","382457","358252","24205"
"2019/11/17","382457","358252","24205"
"2019/11/18","382457","358252","24205"
"2019/11/19","382457","358252","24205"
"2019/11/20","382461","358256","24205"
"2019/11/21","382461","358256","24205"
"2019/11/22","382461","358256","24205"
"2019/11/23","382461","358256","24205"
"2019/11/24","382461","358256","24205"
"2019/11/25","382461","358256","24205"
"2019/11/26","382461","358256","24205"
"2019/11/27","382461","358256","24205"
"2019/11/28","382461","358256","24205"
"2019/11/29","382461","358256","24205"
"2019/11/30","372209","348004","24205"
